symbol,date,open,high,low,close,volume,daily_price_change,price_range,price_direction,year,month,daily_return_pct,volatility,trend
STX,02-01-2014,55.93,55.93,55.08,55.41,3023543,-0.52,0.85,Bearish,2014,Jan,-0.929733596,0.85,Bearish
STZ,02-01-2014,70.02,70.225,68.84,69.24,1070520,-0.78,1.385,Bearish,2014,Jan,-1.113967438,1.385,Bearish
SWKS,02-01-2014,28.3,28.34,27.2,27.4,3534856,-0.9,1.14,Bearish,2014,Jan,-3.180212014,1.14,Bearish
SWK,02-01-2014,80.57,80.79,79.68,80.18,715610,-0.39,1.11,Bearish,2014,Jan,-0.484051136,1.11,Bearish
SYK,02-01-2014,75.12,75.12,74.4,74.63,1204442,-0.49,0.72,Bearish,2014,Jan,-0.65228967,0.72,Bearish
SYMC,02-01-2014,23.44,23.5,23.295,23.46,4439549,0.02,0.205,Bullish,2014,Jan,0.085324232,0.205,Bullish
SYY,02-01-2014,36.9,36.9,35.82,35.92,6722624,-0.98,1.08,Bearish,2014,Jan,-2.655826558,1.08,Bearish
TAP,02-01-2014,55.95,56.05,54.85,55.22,1352710,-0.73,1.2,Bearish,2014,Jan,-1.304736372,1.2,Bearish
TDG,02-01-2014,160.6,160.6,158.87,159.57,527923,-1.03,1.73,Bearish,2014,Jan,-0.641344956,1.73,Bearish
TEL,02-01-2014,54.89,54.99,54.36,54.45,1557227,-0.44,0.63,Bearish,2014,Jan,-0.801603206,0.63,Bearish
TGT,02-01-2014,63.53,64.17,63.14,63.18,7426855,-0.35,1.03,Bearish,2014,Jan,-0.550920825,1.03,Bearish
TIF,02-01-2014,92.2,93.64,92.04,92.55,862065,0.35,1.6,Bullish,2014,Jan,0.379609544,1.6,Bullish
TJX,02-01-2014,63.36,64.33,63.19,63.48,2098457,0.12,1.14,Bullish,2014,Jan,0.189393939,1.14,Bullish
TMK,02-01-2014,52.12,52.12,51.3867,51.62,578291,-0.5,0.7333,Bearish,2014,Jan,-0.959324635,0.7333,Bearish
TMO,02-01-2014,110.69,111.16,109.29,109.63,2559028,-1.06,1.87,Bearish,2014,Jan,-0.957629415,1.87,Bearish
TPR,02-01-2014,56.15,56.65,55.635,55.91,3448174,-0.24,1.015,Bearish,2014,Jan,-0.427426536,1.015,Bearish
TRIP,02-01-2014,82.48,82.5,79.4,80.48,1995592,-2,3.1,Bearish,2014,Jan,-2.424830262,3.1,Bearish
TROW,02-01-2014,83.58,83.755,82.19,82.56,1113643,-1.02,1.565,Bearish,2014,Jan,-1.220387653,1.565,Bearish
TRV,02-01-2014,90.51,90.655,88.97,89.33,1543919,-1.18,1.685,Bearish,2014,Jan,-1.303723345,1.685,Bearish
TSCO,02-01-2014,77.6,77.716,76.13,76.8,855339,-0.8,1.586,Bearish,2014,Jan,-1.030927835,1.586,Bearish
TSN,02-01-2014,33.52,33.53,33.09,33.17,2001435,-0.35,0.44,Bearish,2014,Jan,-1.044152745,0.44,Bearish
TSS,02-01-2014,33.23,33.23,32.69,32.79,1045110,-0.44,0.54,Bearish,2014,Jan,-1.324104725,0.54,Bearish
TWX,02-01-2014,69.47,69.56,68.41,68.73,4734175,-0.74,1.15,Bearish,2014,Jan,-1.065208003,1.15,Bearish
TXN,02-01-2014,43.44,43.5,42.88,43.1,6959175,-0.34,0.62,Bearish,2014,Jan,-0.782688766,0.62,Bearish
TXT,02-01-2014,36.75,36.75,36.185,36.29,1467225,-0.46,0.565,Bearish,2014,Jan,-1.25170068,0.565,Bearish
T,02-01-2014,35.24,35.29,34.95,34.95,20233147,-0.29,0.34,Bearish,2014,Jan,-0.82292849,0.34,Bearish
UAA,02-01-2014,21.825,22.0075,21.6175,21.745,2992552,-0.08,0.39,Bearish,2014,Jan,-0.366552119,0.39,Bearish
UAL,02-01-2014,37.7,38.13,37.5,37.73,2228357,0.03,0.63,Bullish,2014,Jan,0.079575597,0.63,Bullish
UDR,02-01-2014,23.31,23.57,23.1,23.27,1427884,-0.04,0.47,Bearish,2014,Jan,-0.171600172,0.47,Bearish
UHS,02-01-2014,80.84,81.89,80.2,80.62,544022,-0.22,1.69,Bearish,2014,Jan,-0.272142504,1.69,Bearish
ULTA,02-01-2014,96.21,98.26,95.7,95.91,1619126,-0.3,2.56,Bearish,2014,Jan,-0.311817898,2.56,Bearish
